 ,Image,Region,Area-B,Area-G,Mean-B,Mean-G,IntDen-B,IntDen-G
1,01-DAPI-9-40x-402ms.tif,BL,0.032,0.032,105.8441,2.4712,3.388,0.0791
2,01-DAPI-9-40x-402ms.tif,BL,0.0259,0.0259,107.6444,2.8954,2.7916,0.0751
3,01-DAPI-9-40x-402ms.tif,BL,0.0331,0.0331,123.8984,3.118,4.1004,0.1032
4,01-DAPI-9-40x-402ms.tif,BL,0.0322,0.0322,119.4108,2.5859,3.8482,0.0833
5,01-DAPI-9-40x-402ms.tif,BL,0.0538,0.0538,121.2944,3.0766,6.528,0.1656
6,01-DAPI-9-40x-402ms.tif,BL,0.0409,0.0409,90.2971,2.9708,3.6938,0.1215
7,01-DAPI-9-40x-402ms.tif,BL,0.0295,0.0295,132.136,4.8934,3.8998,0.1444
8,01-DAPI-9-40x-402ms.tif,BL,0.0472,0.0472,112.6874,2.646,5.3189,0.1249
9,01-DAPI-9-40x-402ms.tif,BL,0.0214,0.0214,120.8782,3.2335,2.5839,0.0691
10,01-DAPI-9-40x-402ms.tif,BL,0.0432,0.0432,121.9925,3.809,5.2683,0.1645
11,01-DAPI-9-40x-402ms.tif,BL,0.0458,0.0458,118.8175,2.9573,5.4406,0.1354
12,01-DAPI-9-40x-402ms.tif,BL,0.0194,0.0194,129.1397,3.7709,2.5082,0.0732
13,01-DAPI-9-40x-402ms.tif,BL,0.0217,0.0217,125.995,4.065,2.7343,0.0882
14,01-DAPI-9-40x-402ms.tif,BL,0.0084,0.0084,114.3506,3.6883,0.9554,0.0308
15,01-DAPI-9-40x-402ms.tif,BL,0.0258,0.0258,106.4496,2.4244,2.749,0.0626
16,01-DAPI-9-40x-402ms.tif,BL,0.0109,0.0109,121.87,2.62,1.3224,0.0284
17,01-DAPI-9-40x-402ms.tif,BL,0.0195,0.0195,129.0111,3.1833,2.5197,0.0622
18,01-DAPI-9-40x-402ms.tif,BL,0.0154,0.0154,117.0704,3.5563,1.8038,0.0548
19,01-DAPI-9-40x-402ms.tif,BL,0.0123,0.0123,119.0265,3.3186,1.4594,0.0407
20,01-DAPI-9-40x-402ms.tif,BL,0.0316,0.0316,115.9244,2.7904,3.6604,0.0881
21,01-DAPI-9-40x-402ms.tif,BL,0.028,0.028,129.3798,5.4884,3.622,0.1536
22,01-DAPI-9-40x-402ms.tif,BL,0.0176,0.0176,130.1049,5.4568,2.287,0.0959
