 ,Image,Region,Area-B,Area-G,Mean-B,Mean-G,IntDen-B,IntDen-G
1,01-DAPI-9-40x-402ms.tif,NBL,0.0701,0.0701,47.2663,61.1811,3.3132,4.2885
2,01-DAPI-9-40x-402ms.tif,NBL,0.0664,0.0664,54.4444,43.7794,3.6155,2.9072
3,01-DAPI-9-40x-402ms.tif,NBL,0.0366,0.0366,60.5401,29.6677,2.2138,1.0849
4,01-DAPI-9-40x-402ms.tif,NBL,0.0519,0.0519,50.7636,23.6778,2.6329,1.2281
5,01-DAPI-9-40x-402ms.tif,NBL,0.0577,0.0577,89.2876,15.5489,5.1542,0.8976
6,01-DAPI-9-40x-402ms.tif,NBL,0.0076,0.0076,105.9571,50.5143,0.8048,0.3837
7,01-DAPI-9-40x-402ms.tif,NBL,0.018,0.018,113.1145,45.5783,2.0374,0.821
8,01-DAPI-9-40x-402ms.tif,NBL,0.077,0.077,40.3465,44.3211,3.1083,3.4145
9,01-DAPI-9-40x-402ms.tif,NBL,0.0709,0.0709,66.2067,68.3155,4.6911,4.8405
10,01-DAPI-9-40x-402ms.tif,NBL,0.066,0.066,117.3898,58.1612,7.7445,3.837
11,01-DAPI-9-40x-402ms.tif,NBL,0.0575,0.0575,91.0925,54.4623,5.2386,3.1321
12,01-DAPI-9-40x-402ms.tif,NBL,0.0696,0.0696,86.4789,33.8346,6.0149,2.3533
13,01-DAPI-9-40x-402ms.tif,NBL,0.0353,0.0353,101.92,24.7538,3.5942,0.8729
14,01-DAPI-9-40x-402ms.tif,NBL,0.0674,0.0674,89.3575,7.1852,6.0212,0.4842
15,01-DAPI-9-40x-402ms.tif,NBL,0.0503,0.0503,95.1509,8.5409,4.7906,0.43
16,01-DAPI-9-40x-402ms.tif,NBL,0.0288,0.0288,118.7509,24.9396,3.4146,0.7171
17,01-DAPI-9-40x-402ms.tif,NBL,0.0804,0.0804,41.4318,35.2578,3.3313,2.8349
18,01-DAPI-9-40x-402ms.tif,NBL,0.037,0.037,66.9853,24.5455,2.4785,0.9082
19,01-DAPI-9-40x-402ms.tif,NBL,0.0533,0.0533,97.0081,47.3035,5.1683,2.5202
20,01-DAPI-9-40x-402ms.tif,NBL,0.1184,0.1184,47.4867,50.7223,5.6215,6.0046
21,01-DAPI-9-40x-402ms.tif,NBL,0.0413,0.0413,46.6247,63.105,1.9275,2.6088
22,01-DAPI-9-40x-402ms.tif,NBL,0.0248,0.0248,38.8559,71.6419,0.9655,1.7802
23,01-DAPI-9-40x-402ms.tif,NBL,0.1693,0.1693,34.1429,28.2064,5.7794,4.7745
24,01-DAPI-9-40x-402ms.tif,NBL,0.0272,0.0272,117.1076,39.3068,3.1895,1.0705
25,01-DAPI-9-40x-402ms.tif,NBL,0.0158,0.0158,54.4589,37.7329,0.8627,0.5978
26,01-DAPI-9-40x-402ms.tif,NBL,0.035,0.035,70.6192,23.4861,2.475,0.8231
27,01-DAPI-9-40x-402ms.tif,NBL,0.0115,0.0115,31.8679,50.3396,0.3665,0.579
28,01-DAPI-9-40x-402ms.tif,NBL,0.0055,0.0055,47.2157,56.4314,0.2613,0.3123
29,01-DAPI-9-40x-402ms.tif,NBL,0.0332,0.0332,101.2124,40.9248,3.3606,1.3588
30,01-DAPI-9-40x-402ms.tif,NBL,0.0799,0.0799,60.3777,6.1332,4.8218,0.4898
31,01-DAPI-9-40x-402ms.tif,NBL,0.0496,0.0496,118.9344,10.5274,5.8977,0.522
32,01-DAPI-9-40x-402ms.tif,NBL,0.0936,0.0936,76.7845,13.3233,7.1902,1.2476
33,01-DAPI-9-40x-402ms.tif,NBL,0.0349,0.0349,72.0652,24.177,2.5179,0.8447
34,01-DAPI-9-40x-402ms.tif,NBL,0.0669,0.0669,74.2204,34.5883,4.969,2.3156
35,01-DAPI-9-40x-402ms.tif,NBL,0.027,0.027,87.245,81.1245,2.3572,2.1918
36,01-DAPI-9-40x-402ms.tif,NBL,0.0375,0.0375,94.8179,13.2486,3.5598,0.4974
37,01-DAPI-9-40x-402ms.tif,NBL,0.0363,0.0363,62.406,21.0418,2.2684,0.7649
38,01-DAPI-9-40x-402ms.tif,NBL,0.0215,0.0215,93.7273,6.7828,2.0137,0.1457
39,01-DAPI-9-40x-402ms.tif,NBL,0.1202,0.1202,95.1137,2.2708,11.4351,0.273
40,01-DAPI-9-40x-402ms.tif,NBL,0.0358,0.0358,109.3212,2.8909,3.9145,0.1035
41,01-DAPI-9-40x-402ms.tif,NBL,0.0547,0.0547,116.369,3.0655,6.3639,0.1676
42,01-DAPI-9-40x-402ms.tif,NBL,0.047,0.047,106.9423,3.5612,5.0245,0.1673
43,01-DAPI-9-40x-402ms.tif,NBL,0.0832,0.0832,93.5984,4.837,7.7897,0.4026
44,01-DAPI-9-40x-402ms.tif,NBL,0.0494,0.0494,82.4989,3.444,4.073,0.17
45,01-DAPI-9-40x-402ms.tif,NBL,0.0512,0.0512,111.411,3.1758,5.7059,0.1627
46,01-DAPI-9-40x-402ms.tif,NBL,0.0265,0.0265,103.8566,2.5902,2.7497,0.0686
47,01-DAPI-9-40x-402ms.tif,NBL,0.0574,0.0574,114.8336,2.7826,6.5915,0.1597
48,01-DAPI-9-40x-402ms.tif,NBL,0.0451,0.0451,121.6034,3.4159,5.489,0.1542
49,01-DAPI-9-40x-402ms.tif,NBL,0.0106,0.0106,120.0204,3.5204,1.2763,0.0374
50,01-DAPI-9-40x-402ms.tif,NBL,0.0571,0.0571,120.3479,5.9639,6.8688,0.3404
51,01-DAPI-9-40x-402ms.tif,NBL,0.0722,0.0722,123.6256,5.6692,8.9205,0.4091
52,01-DAPI-9-40x-402ms.tif,NBL,0.0481,0.0481,88.3025,4.2912,4.2446,0.2063
53,01-DAPI-9-40x-402ms.tif,NBL,0.0633,0.0633,73.2573,4.2384,4.6342,0.2681
54,01-DAPI-9-40x-402ms.tif,NBL,0.0859,0.0859,84.2311,4.6755,7.2386,0.4018
55,01-DAPI-9-40x-402ms.tif,NBL,0.0255,0.0255,94.2553,4.6085,2.4034,0.1175
56,01-DAPI-9-40x-402ms.tif,NBL,0.0751,0.0751,109.2832,2.5679,8.2057,0.1928
57,01-DAPI-9-40x-402ms.tif,NBL,0.0559,0.0559,124.0796,3.7184,6.9337,0.2078
58,01-DAPI-9-40x-402ms.tif,NBL,0.0635,0.0635,119.4085,2.4684,7.5796,0.1567
59,01-DAPI-9-40x-402ms.tif,NBL,0.0407,0.0407,118.3787,4.2747,4.8168,0.1739
60,01-DAPI-9-40x-402ms.tif,NBL,0.0328,0.0328,100.5166,2.8576,3.2938,0.0936
61,01-DAPI-9-40x-402ms.tif,NBL,0.0079,0.0079,124.1096,3.7397,0.9831,0.0296
62,01-DAPI-9-40x-402ms.tif,NBL,0.0676,0.0676,124.2295,3.6726,8.3979,0.2483
63,01-DAPI-9-40x-402ms.tif,NBL,0.0269,0.0269,93.4637,2.7218,2.5151,0.0732
64,01-DAPI-9-40x-402ms.tif,NBL,0.0233,0.0233,53.5395,2.8279,1.249,0.066
65,01-DAPI-9-40x-402ms.tif,NBL,0.0118,0.0118,79.1743,3.4495,0.9364,0.0408
66,01-DAPI-9-40x-402ms.tif,NBL,0.0707,0.0707,122.3252,3.5184,8.6541,0.2489
67,01-DAPI-9-40x-402ms.tif,NBL,0.0499,0.0499,100.6739,2.6913,5.025,0.1343
68,01-DAPI-9-40x-402ms.tif,NBL,0.0684,0.0684,121.7603,3.0571,8.3235,0.209
69,01-DAPI-9-40x-402ms.tif,NBL,0.0446,0.0446,120.1217,2.8856,5.357,0.1287
70,01-DAPI-9-40x-402ms.tif,NBL,0.0433,0.0433,111.9724,2.7143,4.8478,0.1175
71,01-DAPI-9-40x-402ms.tif,NBL,0.0254,0.0254,107.5641,2.7436,2.7311,0.0697
72,01-DAPI-9-40x-402ms.tif,NBL,0.0283,0.0283,77.6054,2.8697,2.1978,0.0813
73,01-DAPI-9-40x-402ms.tif,NBL,0.0758,0.0758,122.4821,3.0401,9.2898,0.2306
74,01-DAPI-9-40x-402ms.tif,NBL,0.0264,0.0264,46.0247,6.6255,1.2135,0.1747
75,01-DAPI-9-40x-402ms.tif,NBL,0.0532,0.0532,78.7204,4.7408,4.1854,0.2521
76,01-DAPI-9-40x-402ms.tif,NBL,0.02,0.02,114.3478,4.2935,2.283,0.0857
77,01-DAPI-9-40x-402ms.tif,NBL,0.0417,0.0417,84.6016,3.2344,3.5251,0.1348
78,01-DAPI-9-40x-402ms.tif,NBL,0.0735,0.0735,52.9114,2.1521,3.8868,0.1581
79,01-DAPI-9-40x-402ms.tif,NBL,0.0552,0.0552,64.4381,2.1945,3.5589,0.1212
80,01-DAPI-9-40x-402ms.tif,NBL,0.0707,0.0707,116.7883,4,8.2624,0.283
81,01-DAPI-9-40x-402ms.tif,NBL,0.0434,0.0434,118.545,3.22,5.1452,0.1398
82,01-DAPI-9-40x-402ms.tif,NBL,0.0537,0.0537,105.6323,2.6343,5.6736,0.1415
83,01-DAPI-9-40x-402ms.tif,NBL,0.0698,0.0698,115.056,3.4355,8.0275,0.2397
84,01-DAPI-9-40x-402ms.tif,NBL,0.0863,0.0863,49.6843,2.073,4.2859,0.1788
85,01-DAPI-9-40x-402ms.tif,NBL,0.0666,0.0666,93.5081,2.3339,6.2298,0.1555
86,01-DAPI-9-40x-402ms.tif,NBL,0.0412,0.0412,119.1974,3.3579,4.9148,0.1385
87,01-DAPI-9-40x-402ms.tif,NBL,0.0321,0.0321,124.6115,4.902,4.0023,0.1574
88,01-DAPI-9-40x-402ms.tif,NBL,0.034,0.034,114.2173,3.77,3.8791,0.128
89,01-DAPI-9-40x-402ms.tif,NBL,0.0654,0.0654,62.2255,3.7081,4.0714,0.2426
90,01-DAPI-9-40x-402ms.tif,NBL,0.0291,0.0291,58.209,2.5522,1.6927,0.0742
91,01-DAPI-9-40x-402ms.tif,NBL,0.0252,0.0252,103.8017,7.3017,2.6131,0.1838
92,01-DAPI-9-40x-402ms.tif,NBL,0.0203,0.0203,75.4439,6.6952,1.5308,0.1359
93,01-DAPI-9-40x-402ms.tif,NBL,0.0098,0.0098,46.4778,45.7667,0.4539,0.4469
94,01-DAPI-9-40x-402ms.tif,NBL,0.0331,0.0331,135.023,72.8197,4.4685,2.4099
95,01-DAPI-9-40x-402ms.tif,NBL,0.1045,0.1045,36.6397,54.8069,3.8286,5.7269
96,01-DAPI-9-40x-402ms.tif,NBL,0.0974,0.0974,83.9822,27.1247,8.1832,2.643
97,01-DAPI-9-40x-402ms.tif,NBL,0.0831,0.0831,44.0849,7.3799,3.6642,0.6134
98,01-DAPI-9-40x-402ms.tif,NBL,0.0339,0.0339,69.3494,5.9936,2.3478,0.2029
99,01-DAPI-9-40x-402ms.tif,NBL,0.1406,0.1406,36.6574,10.4228,5.1549,1.4657
100,01-DAPI-9-40x-402ms.tif,NBL,0.086,0.086,37.546,36.8487,3.2307,3.1707
101,01-DAPI-9-40x-402ms.tif,NBL,0.0972,0.0972,32.5346,11.9587,3.1631,1.1627
102,01-DAPI-9-40x-402ms.tif,NBL,0.0304,0.0304,106.1714,68.5536,3.2257,2.0828
103,01-DAPI-9-40x-402ms.tif,NBL,0.0811,0.0811,46.9116,2.9371,3.8024,0.2381
104,01-DAPI-9-40x-402ms.tif,NBL,0.1606,0.1606,28.602,3.648,4.5932,0.5858
105,01-DAPI-9-40x-402ms.tif,NBL,0.0227,0.0227,61.4211,9.1005,1.3929,0.2064
106,01-DAPI-9-40x-402ms.tif,NBL,0.0352,0.0352,56.787,4.6975,1.9964,0.1651
107,01-DAPI-9-40x-402ms.tif,NBL,0.0432,0.0432,53.6457,4.3141,2.3167,0.1863
108,01-DAPI-9-40x-402ms.tif,NBL,0.0447,0.0447,71.8665,3.0267,3.2128,0.1353
109,01-DAPI-9-40x-402ms.tif,NBL,0.0102,0.0102,82.9362,4.8191,0.8459,0.0492
110,01-DAPI-9-40x-402ms.tif,NBL,0.0293,0.0293,52.7148,3.0741,1.5444,0.0901
111,01-DAPI-9-40x-402ms.tif,NBL,0.0348,0.0348,55.0031,2.2991,1.9158,0.0801
112,01-DAPI-9-40x-402ms.tif,NBL,0.0074,0.0074,84.3824,2.6912,0.6226,0.0199
113,01-DAPI-9-40x-402ms.tif,NBL,0.0288,0.0288,76.3283,2.7509,2.1948,0.0791
114,01-DAPI-9-40x-402ms.tif,NBL,0.0981,0.0981,90.5199,2.7168,8.8791,0.2665
115,01-DAPI-9-40x-402ms.tif,NBL,0.0161,0.0161,88.8446,2.3784,1.4268,0.0382
116,01-DAPI-9-40x-402ms.tif,NBL,0.0259,0.0259,103.0753,3.7071,2.6731,0.0961
117,01-DAPI-9-40x-402ms.tif,NBL,0.0511,0.0511,79.9321,2.3524,4.0851,0.1202
118,01-DAPI-9-40x-402ms.tif,NBL,0.0549,0.0549,92.5889,2.9209,5.0836,0.1604
119,01-DAPI-9-40x-402ms.tif,NBL,0.0637,0.0637,43.4089,3.6235,2.7649,0.2308
120,01-DAPI-9-40x-402ms.tif,NBL,0.0615,0.0615,64.9771,27.6332,3.9976,1.7001
121,01-DAPI-9-40x-402ms.tif,NBL,0.0637,0.0637,50.1056,9.0886,3.1914,0.5789
122,01-DAPI-9-40x-402ms.tif,NBL,0.112,0.112,35.7694,18.218,4.0054,2.04
123,01-DAPI-9-40x-402ms.tif,NBL,0.1089,0.1089,32.4592,38.9612,3.5361,4.2445
124,01-DAPI-9-40x-402ms.tif,NBL,0.0737,0.0737,49.3402,36.1649,3.6352,2.6645
125,01-DAPI-9-40x-402ms.tif,NBL,0.0434,0.0434,76.14,6.5775,3.3047,0.2855
126,01-DAPI-9-40x-402ms.tif,NBL,0.0203,0.0203,114.0053,4.9144,2.3133,0.0997
127,01-DAPI-9-40x-402ms.tif,NBL,0.0337,0.0337,78.0289,2.8778,2.6331,0.0971
128,01-DAPI-9-40x-402ms.tif,NBL,0.0231,0.0231,81.9531,2.4977,1.8941,0.0577
129,01-DAPI-9-40x-402ms.tif,NBL,0.023,0.023,76.2453,1.684,1.7539,0.0387
130,02-DAPI-9-40x-402ms.tif,NBL,0.0892,0.0892,35.1606,41.7762,3.1361,3.7261
131,02-DAPI-9-40x-402ms.tif,NBL,0.0381,0.0381,40.2678,28.9715,1.5336,1.1034
132,02-DAPI-9-40x-402ms.tif,NBL,0.0884,0.0884,32.2761,9.8368,2.8543,0.8699
133,02-DAPI-9-40x-402ms.tif,NBL,0.1206,0.1206,71.7975,3.9226,8.6553,0.4729
134,02-DAPI-9-40x-402ms.tif,NBL,0.0346,0.0346,119.5329,3.8715,4.1375,0.134
135,02-DAPI-9-40x-402ms.tif,NBL,0.0269,0.0269,65.6452,3.7661,1.7665,0.1013
136,02-DAPI-9-40x-402ms.tif,NBL,0.0706,0.0706,33.8295,6.5929,2.3896,0.4657
137,02-DAPI-9-40x-402ms.tif,NBL,0.0175,0.0175,52.795,7.2795,0.9223,0.1272
138,02-DAPI-9-40x-402ms.tif,NBL,0.01,0.01,57.5435,10.1304,0.5744,0.1011
139,02-DAPI-9-40x-402ms.tif,NBL,0.0473,0.0473,97.2225,5.4174,4.5995,0.2563
140,02-DAPI-9-40x-402ms.tif,NBL,0.1595,0.1595,49.0585,2.2007,7.8251,0.351
