ID;Location;Type;Dose;Count_pos;Count_total;mean_pos;StratCornThick;minEpidermTick
Haut04_23;basal;control;control;1;716;2.8078;21.90266207;34.70906585
Haut04_23;basal;222nm;30 J/m²;1;660;3.1183;21.90266207;34.70906585
Haut04_23;basal;222nm;300 J/m²;0;630;0;21.90266207;34.70906585
Haut04_23;basal;222nm;1000 J/m²;0;572;0;21.90266207;34.70906585
Haut04_23;basal;222nm;2000 J/m²;55;737;3.242601818;21.90266207;34.70906585
Haut04_23;basal;254nm;30 J/m²;41;717;3.27467561;21.90266207;34.70906585
Haut04_23;basal;254nm;300 J/m²;182;842;5.982431319;21.90266207;34.70906585
Haut04_23;basal;254nm;1000 J/m²;607;936;7.046405691;21.90266207;34.70906585
Haut04_23;basal;254nm;2000 J/m²;172;796;6.164430233;21.90266207;34.70906585
Haut04_23;suprabasal;control;control;1;890;4.3167;21.90266207;34.70906585
Haut04_23;suprabasal;222nm;30 J/m²;10;988;10.16931;21.90266207;34.70906585
Haut04_23;suprabasal;222nm;300 J/m²;5;1438;11.78684;21.90266207;34.70906585
Haut04_23;suprabasal;222nm;1000 J/m²;2;720;7.97815;21.90266207;34.70906585
Haut04_23;suprabasal;222nm;2000 J/m²;26;1282;8.644173077;21.90266207;34.70906585
Haut04_23;suprabasal;254nm;30 J/m²;111;1335;6.751607143;21.90266207;34.70906585
Haut04_23;suprabasal;254nm;300 J/m²;485;1029;15.40394825;21.90266207;34.70906585
Haut04_23;suprabasal;254nm;1000 J/m²;644;967;23.22572795;21.90266207;34.70906585
Haut04_23;suprabasal;254nm;2000 J/m²;797;1180;25.33376198;21.90266207;34.70906585
Haut05_23;basal;control;control;1;633;5.0406;16.8391439;34.86465882
Haut05_23;basal;222nm;30 J/m²;0;855;0;16.8391439;34.86465882
Haut05_23;basal;222nm;300 J/m²;0;949;0;16.8391439;34.86465882
Haut05_23;basal;222nm;1000 J/m²;0;1024;0;16.8391439;34.86465882
Haut05_23;basal;222nm;2000 J/m²;1;607;6.7092;16.8391439;34.86465882
Haut05_23;basal;254nm;30 J/m²;0;780;0;16.8391439;34.86465882
Haut05_23;basal;254nm;300 J/m²;0;652;0;16.8391439;34.86465882
Haut05_23;basal;254nm;1000 J/m²;11;582;7.137963636;16.8391439;34.86465882
Haut05_23;basal;254nm;2000 J/m²;169;700;8.700073964;16.8391439;34.86465882
Haut05_23;suprabasal;control;control;2;1377;7.6042;16.8391439;34.86465882
Haut05_23;suprabasal;222nm;30 J/m²;3;1392;14.20083333;16.8391439;34.86465882
Haut05_23;suprabasal;222nm;300 J/m²;5;1519;11.8067;16.8391439;34.86465882
Haut05_23;suprabasal;222nm;1000 J/m²;4;1979;9.0419;16.8391439;34.86465882
Haut05_23;suprabasal;222nm;2000 J/m²;18;947;9.105238889;16.8391439;34.86465882
Haut05_23;suprabasal;254nm;30 J/m²;20;1235;9.50792;16.8391439;34.86465882
Haut05_23;suprabasal;254nm;300 J/m²;89;1242;11.34065618;16.8391439;34.86465882
Haut05_23;suprabasal;254nm;1000 J/m²;372;1136;16.26048656;16.8391439;34.86465882
Haut05_23;suprabasal;254nm;2000 J/m²;485;962;20.08128371;16.8391439;34.86465882
Haut06_23;basal;control;control;1;577;10.7554;13.12959487;26.28649
Haut06_23;basal;222nm;30 J/m²;0;539;0;13.12959487;26.28649
Haut06_23;basal;222nm;300 J/m²;0;564;0;13.12959487;26.28649
Haut06_23;basal;222nm;1000 J/m²;0;567;0;13.12959487;26.28649
Haut06_23;basal;222nm;2000 J/m²;0;524;0;13.12959487;26.28649
Haut06_23;basal;254nm;30 J/m²;2;655;12.2943;13.12959487;26.28649
Haut06_23;basal;254nm;300 J/m²;18;575;13.93593333;13.12959487;26.28649
Haut06_23;basal;254nm;1000 J/m²;324;655;20.45896265;13.12959487;26.28649
Haut06_23;basal;254nm;2000 J/m²;484;509;31.88078843;13.12959487;26.28649
Haut06_23;suprabasal;control;control;1;699;10.2152;13.12959487;26.28649
Haut06_23;suprabasal;222nm;30 J/m²;0;898;0;13.12959487;26.28649
Haut06_23;suprabasal;222nm;300 J/m²;0;1061;0;13.12959487;26.28649
Haut06_23;suprabasal;222nm;1000 J/m²;3;858;16.292725;13.12959487;26.28649
Haut06_23;suprabasal;222nm;2000 J/m²;2;614;9.3177;13.12959487;26.28649
Haut06_23;suprabasal;254nm;30 J/m²;79;878;12.87336835;13.12959487;26.28649
Haut06_23;suprabasal;254nm;300 J/m²;329;870;15.12490304;13.12959487;26.28649
Haut06_23;suprabasal;254nm;1000 J/m²;1347;1751;24.4522199;13.12959487;26.28649
Haut06_23;suprabasal;254nm;2000 J/m²;845;911;35.98799112;13.12959487;26.28649
Haut07_23;basal;control;control;1;672;8.7024;16.56548088;37.49237843
Haut07_23;basal;222nm;30 J/m²;0;1033;0;16.56548088;37.49237843
Haut07_23;basal;222nm;300 J/m²;0;1018;0;16.56548088;37.49237843
Haut07_23;basal;222nm;1000 J/m²;0;993;0;16.56548088;37.49237843
Haut07_23;basal;222nm;2000 J/m²;2;623;6.77685;16.56548088;37.49237843
Haut07_23;basal;254nm;30 J/m²;0;674;0;16.56548088;37.49237843
Haut07_23;basal;254nm;300 J/m²;0;624;0;16.56548088;37.49237843
Haut07_23;basal;254nm;1000 J/m²;147;791;10.85433878;16.56548088;37.49237843
Haut07_23;basal;254nm;2000 J/m²;2;761;8.94975;16.56548088;37.49237843
Haut07_23;suprabasal;control;control;2;1113;8.74575;16.56548088;37.49237843
Haut07_23;suprabasal;222nm;30 J/m²;4;1559;8.3817;16.56548088;37.49237843
Haut07_23;suprabasal;222nm;300 J/m²;4;1228;7.096475;16.56548088;37.49237843
Haut07_23;suprabasal;222nm;1000 J/m²;10;1273;17.44851;16.56548088;37.49237843
Haut07_23;suprabasal;222nm;2000 J/m²;15;940;8.541646667;16.56548088;37.49237843
Haut07_23;suprabasal;254nm;30 J/m²;16;981;8.9670875;16.56548088;37.49237843
Haut07_23;suprabasal;254nm;300 J/m²;363;895;13.62888099;16.56548088;37.49237843
Haut07_23;suprabasal;254nm;1000 J/m²;1357;1453;26.84224377;16.56548088;37.49237843
Haut07_23;suprabasal;254nm;2000 J/m²;123;987;11.77512439;16.56548088;37.49237843
Haut08_23;basal;control;control;1;921;2.3318;11.8526746;26.21242561
Haut08_23;basal;222nm;30 J/m²;0;956;0;11.8526746;26.21242561
Haut08_23;basal;222nm;300 J/m²;0;1070;0;11.8526746;26.21242561
Haut08_23;basal;222nm;1000 J/m²;0;891;0;11.8526746;26.21242561
Haut08_23;basal;222nm;2000 J/m²;0;709;0;11.8526746;26.21242561
Haut08_23;basal;254nm;30 J/m²;15;737;2.64388;11.8526746;26.21242561
Haut08_23;basal;254nm;300 J/m²;123;1026;4.818794309;11.8526746;26.21242561
Haut08_23;basal;254nm;1000 J/m²;405;508;12.41287457;11.8526746;26.21242561
Haut08_23;basal;254nm;2000 J/m²;602;781;16.39891296;11.8526746;26.21242561
Haut08_23;suprabasal;control;control;2;1145;3.62305;11.8526746;26.21242561
Haut08_23;suprabasal;222nm;30 J/m²;10;1192;7.31472;11.8526746;26.21242561
Haut08_23;suprabasal;222nm;300 J/m²;6;1034;5.876466667;11.8526746;26.21242561
Haut08_23;suprabasal;222nm;1000 J/m²;7;861;4.896057143;11.8526746;26.21242561
Haut08_23;suprabasal;222nm;2000 J/m²;3;990;4.5101;11.8526746;26.21242561
Haut08_23;suprabasal;254nm;30 J/m²;201;933;5.0487;11.8526746;26.21242561
Haut08_23;suprabasal;254nm;300 J/m²;809;1341;10.62427713;11.8526746;26.21242561
Haut08_23;suprabasal;254nm;1000 J/m²;674;703;25.23438783;11.8526746;26.21242561
Haut08_23;suprabasal;254nm;2000 J/m²;1115;1217;29.49228726;11.8526746;26.21242561
Haut09_23;basal;control;control;;;;12.5950963;41.49985714
Haut09_23;basal;222nm;30 J/m²;;;;12.5950963;41.49985714
Haut09_23;basal;222nm;300 J/m²;;;;12.5950963;41.49985714
Haut09_23;basal;222nm;1000 J/m²;;;;12.5950963;41.49985714
Haut09_23;basal;222nm;2000 J/m²;;;;12.5950963;41.49985714
Haut09_23;basal;254nm;30 J/m²;;;;12.5950963;41.49985714
Haut09_23;basal;254nm;300 J/m²;;;;12.5950963;41.49985714
Haut09_23;basal;254nm;1000 J/m²;;;;12.5950963;41.49985714
Haut09_23;basal;254nm;2000 J/m²;;;;12.5950963;41.49985714
Haut09_23;suprabasal;control;control;;;;12.5950963;41.49985714
Haut09_23;suprabasal;222nm;30 J/m²;;;;12.5950963;41.49985714
Haut09_23;suprabasal;222nm;300 J/m²;;;;12.5950963;41.49985714
Haut09_23;suprabasal;222nm;1000 J/m²;;;;12.5950963;41.49985714
Haut09_23;suprabasal;222nm;2000 J/m²;;;;12.5950963;41.49985714
Haut09_23;suprabasal;254nm;30 J/m²;;;;12.5950963;41.49985714
Haut09_23;suprabasal;254nm;300 J/m²;;;;12.5950963;41.49985714
Haut09_23;suprabasal;254nm;1000 J/m²;;;;12.5950963;41.49985714
Haut09_23;suprabasal;254nm;2000 J/m²;;;;12.5950963;41.49985714
Haut01_24;basal;control;control;1;683;6.7246;13.33454;37.13509592
Haut01_24;basal;222nm;30 J/m²;0;1285;0;13.33454;37.13509592
Haut01_24;basal;222nm;300 J/m²;0;596;0;13.33454;37.13509592
Haut01_24;basal;222nm;1000 J/m²;0;785;0;13.33454;37.13509592
Haut01_24;basal;222nm;2000 J/m²;0;861;0;13.33454;37.13509592
Haut01_24;basal;254nm;30 J/m²;8;624;8.224071429;13.33454;37.13509592
Haut01_24;basal;254nm;300 J/m²;1;745;7.8425;13.33454;37.13509592
Haut01_24;basal;254nm;1000 J/m²;57;733;10.54519298;13.33454;37.13509592
Haut01_24;basal;254nm;2000 J/m²;0;614;0;13.33454;37.13509592
Haut01_24;suprabasal;control;control;1;743;6.7011;13.33454;37.13509592
Haut01_24;suprabasal;222nm;30 J/m²;4;1341;14.828725;13.33454;37.13509592
Haut01_24;suprabasal;222nm;300 J/m²;10;1324;8.61083;13.33454;37.13509592
Haut01_24;suprabasal;222nm;1000 J/m²;1;945;33.4462;13.33454;37.13509592
Haut01_24;suprabasal;222nm;2000 J/m²;0;906;0;13.33454;37.13509592
Haut01_24;suprabasal;254nm;30 J/m²;134;742;13.03263134;13.33454;37.13509592
Haut01_24;suprabasal;254nm;300 J/m²;249;1106;12.59766506;13.33454;37.13509592
Haut01_24;suprabasal;254nm;1000 J/m²;471;878;22.06761614;13.33454;37.13509592
Haut01_24;suprabasal;254nm;2000 J/m²;232;1068;12.02295733;13.33454;37.13509592
Haut02_24;basal;control;control;1;661;9.7758;10.62792613;27.34028718
Haut02_24;basal;222nm;30 J/m²;0;595;0;10.62792613;27.34028718
Haut02_24;basal;222nm;300 J/m²;0;537;0;10.62792613;27.34028718
Haut02_24;basal;222nm;1000 J/m²;0;676;0;10.62792613;27.34028718
Haut02_24;basal;222nm;2000 J/m²;0;883;0;10.62792613;27.34028718
Haut02_24;basal;254nm;30 J/m²;0;649;0;10.62792613;27.34028718
Haut02_24;basal;254nm;300 J/m²;54;647;16.59178704;10.62792613;27.34028718
Haut02_24;basal;254nm;1000 J/m²;25;579;18.319388;10.62792613;27.34028718
Haut02_24;basal;254nm;2000 J/m²;207;607;21.33992947;10.62792613;27.34028718
Haut02_24;suprabasal;control;control;1;813;5.0818;10.62792613;27.34028718
Haut02_24;suprabasal;222nm;30 J/m²;7;527;6.397614286;10.62792613;27.34028718
Haut02_24;suprabasal;222nm;300 J/m²;5;566;7.62948;10.62792613;27.34028718
Haut02_24;suprabasal;222nm;1000 J/m²;59;798;7.674476271;10.62792613;27.34028718
Haut02_24;suprabasal;222nm;2000 J/m²;42;934;7.63602619;10.62792613;27.34028718
Haut02_24;suprabasal;254nm;30 J/m²;191;1030;9.510868586;10.62792613;27.34028718
Haut02_24;suprabasal;254nm;300 J/m²;525;839;22.63490267;10.62792613;27.34028718
Haut02_24;suprabasal;254nm;1000 J/m²;429;1164;16.20611235;10.62792613;27.34028718
Haut02_24;suprabasal;254nm;2000 J/m²;907;1408;27.73777607;10.62792613;27.34028718
Haut03_24;basal;control;control;1;657;3.6306;12.23790417;30.99888857
Haut03_24;basal;222nm;30 J/m²;25;523;4.2979;12.23790417;30.99888857
Haut03_24;basal;222nm;300 J/m²;8;574;3.8260625;12.23790417;30.99888857
Haut03_24;basal;222nm;1000 J/m²;8;527;3.8501;12.23790417;30.99888857
Haut03_24;basal;222nm;2000 J/m²;45;535;3.95538;12.23790417;30.99888857
Haut03_24;basal;254nm;30 J/m²;143;980;4.252757343;12.23790417;30.99888857
Haut03_24;basal;254nm;300 J/m²;131;588;6.03860458;12.23790417;30.99888857
Haut03_24;basal;254nm;1000 J/m²;342;530;10.77250409;12.23790417;30.99888857
Haut03_24;basal;254nm;2000 J/m²;564;770;11.8495422;12.23790417;30.99888857
Haut03_24;suprabasal;control;control;1;783;7.1127;12.23790417;30.99888857
Haut03_24;suprabasal;222nm;30 J/m²;11;755;12.57395455;12.23790417;30.99888857
Haut03_24;suprabasal;222nm;300 J/m²;1;805;7.4371;12.23790417;30.99888857
Haut03_24;suprabasal;222nm;1000 J/m²;9;1187;9.925944444;12.23790417;30.99888857
Haut03_24;suprabasal;222nm;2000 J/m²;18;1206;9.861927778;12.23790417;30.99888857
Haut03_24;suprabasal;254nm;30 J/m²;283;1628;14.17662862;12.23790417;30.99888857
Haut03_24;suprabasal;254nm;300 J/m²;557;1389;21.23047828;12.23790417;30.99888857
Haut03_24;suprabasal;254nm;1000 J/m²;560;883;32.67483339;12.23790417;30.99888857
Haut03_24;suprabasal;254nm;2000 J/m²;796;1025;11.8495422;12.23790417;30.99888857
Haut05_24;basal;control;control;1;781;4.3444;9.292816406;34.79704167
Haut05_24;basal;222nm;30 J/m²;0;530;0;9.292816406;34.79704167
Haut05_24;basal;222nm;300 J/m²;6;529;5.02035;9.292816406;34.79704167
Haut05_24;basal;222nm;1000 J/m²;0;585;0;9.292816406;34.79704167
Haut05_24;basal;222nm;2000 J/m²;0;707;0;9.292816406;34.79704167
Haut05_24;basal;254nm;30 J/m²;1;650;4.1029;9.292816406;34.79704167
