ID,Location,Type,Dose,Count_pos,Count_total,mean_pos,StratCornThick,minEpidermTick
Haut14_23,basal,control,control,1,594,5.5787,12.3405,75.69725
Haut14_23,basal,222nm,30 J/m²,0,625,0,12.3405,75.69725
Haut14_23,basal,222nm,300 J/m²,0,589,0,12.3405,75.69725
Haut14_23,basal,222nm,1000 J/m²,0,772,0,12.3405,75.69725
Haut14_23,basal,222nm,2000 J/m²,0,856,0,12.3405,75.69725
Haut14_23,basal,254nm,30 J/m²,0,856,0,12.3405,75.69725
Haut14_23,basal,254nm,300 J/m²,64,578,5.445890625,12.3405,75.69725
Haut14_23,basal,254nm,1000 J/m²,51,582,5.97065098,12.3405,75.69725
Haut14_23,basal,254nm,2000 J/m²,29,574,7.18577931,12.3405,75.69725
Haut14_23,suprabasal,control,control,2,1262,4.01085,12.3405,75.69725
Haut14_23,suprabasal,222nm,30 J/m²,105,1176,6.490864762,12.3405,75.69725
Haut14_23,suprabasal,222nm,300 J/m²,38,983,6.378363158,12.3405,75.69725
Haut14_23,suprabasal,222nm,1000 J/m²,55,1276,5.644514545,12.3405,75.69725
Haut14_23,suprabasal,222nm,2000 J/m²,52,1481,5.907732692,12.3405,75.69725
Haut14_23,suprabasal,254nm,30 J/m²,90,1141,8.727991111,12.3405,75.69725
Haut14_23,suprabasal,254nm,300 J/m²,296,875,12.33895135,12.3405,75.69725
Haut14_23,suprabasal,254nm,1000 J/m²,664,1231,22.26914849,12.3405,75.69725
Haut14_23,suprabasal,254nm,2000 J/m²,630,1155,20.67397587,12.3405,75.69725
Haut15_23,basal,control,control,1,597,4.3419,9.3439,55.394275
Haut15_23,basal,222nm,30 J/m²,0,500,0,9.3439,55.394275
Haut15_23,basal,222nm,300 J/m²,0,711,0,9.3439,55.394275
Haut15_23,basal,222nm,1000 J/m²,0,569,0,9.3439,55.394275
Haut15_23,basal,222nm,2000 J/m²,0,601,0,9.3439,55.394275
Haut15_23,basal,254nm,30 J/m²,0,503,0,9.3439,55.394275
Haut15_23,basal,254nm,300 J/m²,2,700,7.19345,9.3439,55.394275
Haut15_23,basal,254nm,1000 J/m²,0,508,0,9.3439,55.394275
Haut15_23,basal,254nm,2000 J/m²,2,718,4.10375,9.3439,55.394275
Haut15_23,suprabasal,control,control,3,2449,4.064,9.3439,55.394275
Haut15_23,suprabasal,222nm,30 J/m²,3,1501,4.9602,9.3439,55.394275
Haut15_23,suprabasal,222nm,300 J/m²,1,2175,6.1246,9.3439,55.394275
Haut15_23,suprabasal,222nm,1000 J/m²,32,1829,8.09766875,9.3439,55.394275
Haut15_23,suprabasal,222nm,2000 J/m²,5,2327,5.48896,9.3439,55.394275
Haut15_23,suprabasal,254nm,30 J/m²,13,1690,6.712846154,9.3439,55.394275
Haut15_23,suprabasal,254nm,300 J/m²,275,2130,10.65931345,9.3439,55.394275
Haut15_23,suprabasal,254nm,1000 J/m²,123,1645,9.452195122,9.3439,55.394275
Haut15_23,suprabasal,254nm,2000 J/m²,294,1422,15.30306735,9.3439,55.394275
Haut16_23,basal,control,control,2,1101,2.37775,7.7439,59.31689375
Haut16_23,basal,222nm,30 J/m²,0,528,0,7.7439,59.31689375
Haut16_23,basal,222nm,300 J/m²,0,836,0,7.7439,59.31689375
Haut16_23,basal,222nm,1000 J/m²,0,966,0,7.7439,59.31689375
Haut16_23,basal,222nm,2000 J/m²,0,1199,0,7.7439,59.31689375
Haut16_23,basal,254nm,30 J/m²,8,745,2.4399375,7.7439,59.31689375
Haut16_23,basal,254nm,300 J/m²,1,572,2.2109,7.7439,59.31689375
Haut16_23,basal,254nm,1000 J/m²,68,988,2.756491176,7.7439,59.31689375
Haut16_23,basal,254nm,2000 J/m²,111,752,3.518017117,7.7439,59.31689375
Haut16_23,suprabasal,control,control,7,3471,3.819357143,7.7439,59.31689375
Haut16_23,suprabasal,222nm,30 J/m²,0,924,0,7.7439,59.31689375
Haut16_23,suprabasal,222nm,300 J/m²,11,2539,3.935236364,7.7439,59.31689375
Haut16_23,suprabasal,222nm,1000 J/m²,10,2659,3.71036,7.7439,59.31689375
Haut16_23,suprabasal,222nm,2000 J/m²,29,1762,5.115968966,7.7439,59.31689375
Haut16_23,suprabasal,254nm,30 J/m²,100,646,9.17427,7.7439,59.31689375
Haut16_23,suprabasal,254nm,300 J/m²,293,2677,11.81680512,7.7439,59.31689375
Haut16_23,suprabasal,254nm,1000 J/m²,1068,1982,18.49268577,7.7439,59.31689375
Haut16_23,suprabasal,254nm,2000 J/m²,681,1449,23.00308164,7.7439,59.31689375
Haut17_23,basal,control,control,1,712,4.456,9.8837,46.5835625
Haut17_23,basal,222nm,30 J/m²,0,1188,0,9.8837,46.5835625
Haut17_23,basal,222nm,300 J/m²,0,821,0,9.8837,46.5835625
